"Riga Excel";"FONDO";"Comune";"Provincia";"Indirizzo";"Destinazione";"Sup. lorda (mq)";"Asking price file";"Prezzo file (col. K)";"VALORE RIVENDITA";"Metodo";"Affidabilita";"EUR/mq applicato";"EUR/mq min OMI";"EUR/mq max OMI";"Zona OMI";"Descrizione zona OMI";"Semestre OMI";"Tipologia OMI";"Stato conservativo";"Fonte";"URL fonte";"Data fonte";"Motivazione";"Avvisi"
"8";"FAB";"Romano di Lombardia";"BG";"Via del Commercio 7";"Uffici";"346";;;;"nessuno";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";;;;"D2";"ZONA PERIFERICA";"2025-2";"";"";"";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?H509/BG00009088/20252/T/D2/0/0";"";"L'OMI non pubblica quotazioni per la destinazione Terziaria nella zona D2 (ZONA PERIFERICA) del comune di Romano di Lombardia, semestre 2025 - semestre 2.";"Zona rurale/periferica senza quotazione pubblicata per questa destinazione."
"9";"FAB";"Monzuno";"BO";"Fraz. Vado - Località Murazze Via Casaglia - podere agricolo Casone";"Terreni agricoli";"89311";"30000";;"44000";"comparabili";"ALTA";"0,49";;;"B1";"CAPOLUOGO E FRAZIONE SELVE";"2025-2";"";"";"Immobiliare.it - annuncio di vendita dello stesso immobile, pubblicato da iQera Italia SPA";"https://www.immobiliare.it/annunci/97331910/";"2026-09-09";"Lo stesso immobile risulta pubblicato in vendita: prezzo richiesto sul mercato 44.000 EUR. E' il riferimento piu diretto possibile per il valore di rivendita, perche non e' una media di zona ma il prezzo a cui questo specifico immobile e' offerto al pubblico.";"Il valore e un prezzo RICHIESTO, non un prezzo di vendita concluso: il realizzo effettivo sara di norma inferiore per effetto della trattativa."
"10";"FAB";"Brescia";"BS";"Via Trento 9";"Commerciale";"174,64999999999998";"160000";;"266341";"omi";"ALTA";"1525";"1300";"1750";"C1";"VIA VENETO, VIA CROCIFISSA DI ROSA, OSPEDALE, MOMPIANO";"2025-2";"Negozi";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?B157/BS00000065/20252/C/C1/0/0";"2025-2";"Quotazione OMI del comune di Brescia, zona C1 (VIA VENETO, VIA CROCIFISSA DI ROSA, OSPEDALE, MOMPIANO), fascia C, destinazione Commerciale, tipologia 'Negozi', stato conservativo 'NORMALE' (normale): 1300-1750 EUR/mq su superficie lorda. Valore centrale 1525 EUR/mq x 174.64999999999998 mq lordi.";""
"11";"FAB";"Cento";"FE";"Via Ghisellini";"Residenziale";"2517,9900000000002";"420000";;"675000";"comparabili";"ALTA";"268,07";;;"R1";"ZONA RURALE E FRAZIONI MINORI";"2025-2";"";"";"Immobiliare.it - annuncio di vendita dello stesso immobile, pubblicato da iQera Italia SPA";"https://www.immobiliare.it/annunci/97331912/";"2026-09-09";"Lo stesso immobile risulta pubblicato in vendita: prezzo richiesto sul mercato 675.000 EUR. E' il riferimento piu diretto possibile per il valore di rivendita, perche non e' una media di zona ma il prezzo a cui questo specifico immobile e' offerto al pubblico.";"Il valore e un prezzo RICHIESTO, non un prezzo di vendita concluso: il realizzo effettivo sara di norma inferiore per effetto della trattativa. | Annuncio: tre palazzine in corso di costruzione (839 mq ciascuna, 11 appartamenti e 11 box per palazzina); una sola ha platea e tre pilastri. Superficie annuncio 3.177 mq contro 2.518 mq del file."
"12";"FAB";"Ferrara";"FE";"Via Centoversuri n.24 int.2";"Residenziale";"326";"110000";;;"omi-incoerente";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";"1725";"1600";"1850";"B4";"CITTA` ENTRO LE MURA";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?D548/FE00001540/20252/R/B4/0/0";"2025-2";"Superficie e prezzo del file sono incoerenti fra loro: il prezzo richiesto (110000 EUR su 326 mq) implica 337 EUR/mq, pari al 21% del minimo OMI di zona (1600 EUR/mq). La superficie indicata non e' compatibile con la superficie commerciale di un fabbricato: e' verosimilmente l'area del lotto o l'aggregato di piu' unita. Applicare il valore OMI al mq a questa superficie produrrebbe 562.350 EUR, valore non attendibile. Quotazione OMI del comune di Ferrara, zona B4 (CITTA` ENTRO LE MURA), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 1600-1850 EUR/mq su superficie lorda. Valore centrale 1725 EUR/mq x 326 mq lordi.";"Serve la superficie commerciale reale, oppure una stima da comparabili sull immobile specifico."
"13";"FAB";"Alatri";"FR";"Via Croci 1";"Residenziale";"2489,5";"130000";;;"omi-incoerente";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";"725";"610";"840";"B1";"AGGL.URB.DELIMITATO DALLE MURA MEGALITICHE (V.ROMA,C.";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?A123/FR00000051/20252/R/B1/0/0";"2025-2";"Superficie e prezzo del file sono incoerenti fra loro: il prezzo richiesto (130000 EUR su 2489.5 mq) implica 52 EUR/mq, pari al 9% del minimo OMI di zona (610 EUR/mq). La superficie indicata non e' compatibile con la superficie commerciale di un fabbricato: e' verosimilmente l'area del lotto o l'aggregato di piu' unita. Applicare il valore OMI al mq a questa superficie produrrebbe 1.804.888 EUR, valore non attendibile. Quotazione OMI del comune di Alatri, zona B1 (AGGL.URB.DELIMITATO DALLE MURA MEGALITICHE (V.ROMA,C.), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 610-840 EUR/mq su superficie lorda. Valore centrale 725 EUR/mq x 2489.5 mq lordi.";"Serve la superficie commerciale reale, oppure una stima da comparabili sull immobile specifico."
"14";"FAB";"Ceccano";"FR";"Loc. Colle Alto (FR)";"Terreni agricoli";"13295";"12000";;;"nessuno";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";;;;"B1";"P.BERARDI,V.PURGATORIO,V.PRINC.UMBERTO,BG.S.MARTINO,V.S.PIETRO,V.MADONNA DEGLI ANGELI,V.CAVOUR,P.CASTELLO";"2025-2";"";"";"";"";"";"L'OMI non pubblica quotazioni per questa destinazione (Terreni agricoli): terreni, immobili 'Altro' e ricettivi non rientrano nelle quattro destinazioni OMI (Residenziale, Commerciale, Terziaria, Produttiva).";"Serve una stima da comparabili di mercato o da fonte specifica per la tipologia."
"15";"FAB";"Ferentino";"FR";"loc. Bagnatore";"Terreni agricoli";"2600";"6500";;;"nessuno";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";;;;"D1";"ACQUAFORTE,GROTTICELLE,MACERONI,BUFALA,S.CATERINA,COLLE ROSA,PANTANO S.ANTONIO";"2025-2";"";"";"";"";"";"L'OMI non pubblica quotazioni per questa destinazione (Terreni agricoli): terreni, immobili 'Altro' e ricettivi non rientrano nelle quattro destinazioni OMI (Residenziale, Commerciale, Terziaria, Produttiva).";"Serve una stima da comparabili di mercato o da fonte specifica per la tipologia."
"16";"FAB";"Ferentino";"FR";"Via Giovine Tofe Morolo n.ro 237";"Residenziale";"4625";"62000";;;"omi-incoerente";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";"685";"580";"790";"B1";"V.ANTICA ACROPOLI,V.20 SETTEMBRE,P.UMBERTO I,V.DIONIGI,P.MAZZINI,V.REG. MARGHERITA";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?D539/FR00000212/20252/R/B1/0/0";"2025-2";"Superficie e prezzo del file sono incoerenti fra loro: il prezzo richiesto (62000 EUR su 4625 mq) implica 13 EUR/mq, pari al 2% del minimo OMI di zona (580 EUR/mq). La superficie indicata non e' compatibile con la superficie commerciale di un fabbricato: e' verosimilmente l'area del lotto o l'aggregato di piu' unita. Applicare il valore OMI al mq a questa superficie produrrebbe 3.168.125 EUR, valore non attendibile. Quotazione OMI del comune di Ferentino, zona B1 (V.ANTICA ACROPOLI,V.20 SETTEMBRE,P.UMBERTO I,V.DIONIGI,P.MAZZINI,V.REG. MARGHERITA), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 580-790 EUR/mq su superficie lorda. Valore centrale 685 EUR/mq x 4625 mq lordi.";"Immobile occupato: lo stato occupazionale riduce il prezzo realizzabile e allunga i tempi; la quotazione OMI si riferisce a immobile libero. | Serve la superficie commerciale reale, oppure una stima da comparabili sull immobile specifico."
"17";"FAB";"Ripi";"FR";"Via Succurre Miseris 48";"Residenziale";"1173";"85000";;;"omi-incoerente";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";"542,5";"435";"650";"D3";"SELVAPIANA,SUCCURRE MISERIS,V.DELLO STATUTO,MERINGO ALTO,CUPERA,BG.S.TOMMASO";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?H324/FR00001769/20252/R/D3/0/0";"2025-2";"Superficie e prezzo del file sono incoerenti fra loro: il prezzo richiesto (85000 EUR su 1173 mq) implica 72 EUR/mq, pari al 17% del minimo OMI di zona (435 EUR/mq). La superficie indicata non e' compatibile con la superficie commerciale di un fabbricato: e' verosimilmente l'area del lotto o l'aggregato di piu' unita. Applicare il valore OMI al mq a questa superficie produrrebbe 636.352 EUR, valore non attendibile. Quotazione OMI del comune di Ripi, zona D3 (SELVAPIANA,SUCCURRE MISERIS,V.DELLO STATUTO,MERINGO ALTO,CUPERA,BG.S.TOMMASO), fascia D, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 435-650 EUR/mq su superficie lorda. Valore centrale 542 EUR/mq x 1173 mq lordi.";"Immobile occupato: lo stato occupazionale riduce il prezzo realizzabile e allunga i tempi; la quotazione OMI si riferisce a immobile libero. | Serve la superficie commerciale reale, oppure una stima da comparabili sull immobile specifico."
